,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ITC,0.0014716304242705567,0.002259860735313473,0.0021165852230929385,0.001774886612993168,0.0013075866754250064,0.0024826911453524774,0.0019433575070928492,0.0016245172749620057,0.0025202830395496994,0.0011353643261029149,0.1427264093146449,0.0019208525170854168,0.002021767435231563,0.001645940109933405,0.0009847980044639533,0.0017004677854363286,0.0022260295812726095,0.0014073415315102057,0.0013727137949906642,0.0011730537951499796
KOTAKBANK,0.002319763621221244,0.004880521486748757,0.003977125168018142,0.002251915511964596,0.0017412761778453378,0.004061109296790964,0.003868723040417086,0.0018538980979706258,0.004665969921927107,0.0017896414849477267,0.0019208525170854168,0.14430230283348577,0.003952620600961355,0.003131057628577532,0.0009377356965439204,0.003388166245692045,0.003936731570035341,0.0018346596676228437,0.0016241097632087762,0.0015373786956456828
LT,0.0024768960544536206,0.005926673468033075,0.003859671941302984,0.0028637672136425252,0.001733691545007818,0.0037773206616899127,0.0035233371787324872,0.0015876137599932182,0.005612374297833589,0.0018065233997161848,0.002021767435231563,0.003952620600961354,0.1442438758998932,0.0037291673969265045,0.0014322710709095314,0.0034652948587095478,0.00539145893783162,0.0018423166793925525,0.0014600761408151814,0.0015304681613513246
MARUTI,0.002647342415286758,0.004728834432894144,0.003959679263964429,0.002267743909374154,0.001588249650754331,0.0032884829094764994,0.002842515482599747,0.0017746827567064662,0.004230615424537774,0.0013411486866063184,0.001645940109933405,0.003131057628577532,0.0037291673969265045,0.1456097227818182,0.0008356024300732534,0.003041890332719932,0.0039905094441729065,0.0015041035429105645,0.0011383065053274047,0.0012051710616752997
NESTLEIND,0.002209499682565952,0.0019925899272939976,0.0023081231909252257,0.0007762170256607317,0.0004274780375946475,0.0006994967096215882,0.0011126996512426449,0.001967522515483621,0.0010087672790207317,0.00021414136708193144,0.0009847980044639533,0.0009377356965439204,0.0014322710709095314,0.0008356024300732536,0.2633156770372808,0.0014431902638657368,0.0010905240824331337,0.0016225649480870346,0.00026255073138873274,0.000472453782864041
RELIANCE,0.0022150599871705095,0.004143717786492836,0.0032024502666259756,0.0026557718870787333,0.0022089278402982002,0.0031644224498518078,0.002895146547028014,0.0017679995421195952,0.00425017933291843,0.0018782308325366063,0.0017004677854363286,0.003388166245692045,0.0034652948587095478,0.003041890332719932,0.0014431902638657368,0.143510406983418,0.003887794250323313,0.002084713810321758,0.0018799816673314034,0.001804697940603451
SBIN,0.0023086536063044016,0.007249444930378565,0.00461849079416358,0.0033022568661347286,0.0016752336484014583,0.0042130324668627405,0.00354410634522316,0.0014346999083678603,0.007785725448593407,0.0018168206247143638,0.0022260295812726095,0.003936731570035341,0.00539145893783162,0.0039905094441729065,0.0010905240824331337,0.003887794250323313,0.1507740853753286,0.0018056303211117265,0.001301310576807884,0.0014691673203915036
SUNPHARMA,0.0013699015826440226,0.0022202826670956995,0.001873547290934923,0.0015092337712409392,0.0013879228972075983,0.0017311635798331457,0.0016048858806411318,0.0012281936191491202,0.0021798808810532663,0.0012946893602577292,0.0014073415315102057,0.0018346596676228437,0.0018423166793925525,0.0015041035429105645,0.0016225649480870346,0.002084713810321758,0.0018056303211117265,0.14455280756178882,0.0011705487531803076,0.0013240874963247496
TCS,0.0010488017813051953,0.0018213189848720556,0.0014999019849935005,0.0011995122557137226,0.0037706940259060284,0.001743697325424344,0.0015184869580970371,0.0011628197469241808,0.0019954752100693456,0.0036816662797462844,0.0013727137949906642,0.0016241097632087762,0.0014600761408151816,0.0011383065053274047,0.00026255073138873274,0.0018799816673314034,0.001301310576807884,0.0011705487531803076,0.14290273451849542,0.003026865451880417
WIPRO,0.001103606242158418,0.001914513161448738,0.0014174768971356405,0.0011831704253089733,0.0033498875059861143,0.001664976691185119,0.0013414111941976057,0.0011896218788316122,0.002000981995933017,0.003197479371004989,0.0011730537951499796,0.0015373786956456828,0.0015304681613513246,0.0012051710616752997,0.000472453782864041,0.001804697940603451,0.0014691673203915036,0.0013240874963247496,0.003026865451880417,0.1433935757836349
