date,close,dividend,high,low,open,split,volume
2007-09-12,4414.85,,4441.95,4408.75,4412.6,,204363008.0
2007-09-13,4451.6,,4460.8,4422.7,4422.7,,167376000.0
2007-09-14,4432.85,,4501.25,4424.25,4467.25,,182640000.0
2007-09-17,4415.3,,4464.9,4401.2,4441.5,,153740992.0
2007-09-18,4466.8,,4472.1,4405.45,4416.35,,150096000.0
2007-09-19,4637.7,,4643.2,4472.35,4472.35,,218220000.0
2007-09-20,4652.55,,4665.65,4627.15,4648.35,,195830000.0
2007-09-21,4732.6,,4748.55,4642.85,4646.1,,341820000.0
2007-09-24,4828.85,,4835.7,4748.2,4750.25,,485443008.0
2007-09-25,4833.05,,4849.45,4774.2,4840.05,,395416992.0
2007-09-26,4838.5,,4881.2,4829.15,4846.2,,398536992.0
2007-09-27,4886.25,,4909.9,4866.9,4867.45,,380083008.0
2007-09-28,4918.95,,4946.6,4891.95,4896.1,,329454016.0
2007-10-01,4972.8,,4992.55,4902.25,4923.35,,296024000.0
2007-10-03,5098.3,,5150.95,4921.9,4996.4,,394032000.0
2007-10-04,5090.9,,5116.65,5012.4,5097.95,,258826000.0
2007-10-05,5054.1,,5123.35,5033.35,5094.15,,204236000.0
2007-10-08,4944.1,,5112.9,4882.35,5093.15,,287327008.0
2007-10-09,5175.95,,5190.8,4865.15,4909.3,,344164000.0
2007-10-10,5288.65,,5302.6,5195.15,5195.15,,333526016.0
2007-10-11,5371.15,,5378.05,5268.65,5309.95,,246484000.0
2007-10-12,5276.3,,5392.75,5253.25,5347.85,,291480992.0
2007-10-15,5496.8,,5506.6,5309.55,5309.55,,272188000.0
2007-10-16,5497.7,,5533.15,5411.5,5513.0,,352705984.0
2007-10-17,5380.35,,5414.15,4990.5,5237.85,,315856992.0
2007-10-18,5177.45,,5548.15,5102.9,5401.2,,356062016.0
2007-10-19,5034.1,,5194.75,4928.8,5194.75,,298881984.0
2007-10-22,5011.1,,5068.75,4903.0,4981.75,,218579008.0
2007-10-23,5299.3,,5310.6,5049.8,5049.8,,255172992.0
2007-10-24,5324.55,,5402.05,5250.05,5368.15,,291923008.0
2007-10-25,5389.7,,5422.9,5299.95,5326.7,,359334016.0
2007-10-26,5524.95,,5537.05,5342.4,5400.55,,305112992.0
2007-10-29,5705.55,,5719.25,5583.45,5583.45,,348918016.0
