date,open,low,high,close,volume
2013-10-07,793.25,777.5,800.15,797.8,2439267.0
2013-10-08,815.25,785.3,817.8,791.5,3597782.0
2013-10-09,782.55,779.5,804.95,802.2,3937587.0
2013-10-10,798.35,796.0,812.25,808.25,1568067.0
2013-10-11,816.2,805.3,817.0,810.5,2241802.0
2013-10-12,816.2,805.3,817.0,810.5,2241802.0
2013-10-13,816.2,805.3,817.0,810.5,2241802.0
2013-10-14,809.9,796.35,809.9,803.35,1734510.0
2013-10-15,805.0,797.15,811.0,801.95,1709161.0
2013-10-16,805.0,797.15,811.0,801.95,1709161.0
2013-10-17,816.0,790.0,816.0,795.2,2421727.0
2013-10-18,800.0,799.05,822.0,819.45,2055857.0
2013-10-19,800.0,799.05,822.0,819.45,2055857.0
2013-10-20,800.0,799.05,822.0,819.45,2055857.0
2013-10-21,826.5,804.05,826.5,821.15,2714921.0
2013-10-22,816.05,799.2,820.55,810.7,2072556.0
2013-10-23,813.25,798.3,816.9,809.7,2014493.0
2013-10-24,807.1,803.5,820.0,812.15,2202103.0
2013-10-25,814.0,803.7,814.0,809.8,1613485.0
2013-10-26,814.0,803.7,814.0,809.8,1613485.0
2013-10-27,814.0,803.7,814.0,809.8,1613485.0
2013-10-28,815.0,811.85,823.0,820.85,1410915.0
2013-10-29,827.8,812.55,842.0,839.6,2433473.0
2013-10-30,842.0,838.85,852.2,849.45,5509041.0
2013-10-31,846.0,844.05,859.25,855.05,4891246.0
2013-11-01,855.5,845.1,859.3,855.4,3546371.0
2013-11-02,855.5,845.1,859.3,855.4,3546371.0
2013-11-03,856.0,843.25,858.65,852.8,176489.0
2013-11-04,856.0,843.25,858.65,852.8,176489.0
2013-11-05,848.5,848.5,864.9,859.45,2863157.0
2013-11-06,856.1,833.05,857.95,838.95,3170876.0
2013-11-07,842.0,837.95,859.0,841.75,2434715.0
2013-11-08,834.0,805.55,838.95,809.35,3457699.0
2013-11-09,834.0,805.55,838.95,809.35,3457699.0
2013-11-10,834.0,805.55,838.95,809.35,3457699.0
2013-11-11,809.35,793.65,814.0,805.35,2901036.0
2013-11-12,808.7,793.0,813.8,794.85,1768595.0
2013-11-13,790.0,788.55,801.65,791.4,2038529.0
2013-11-14,800.1,790.0,812.95,793.3,1226278.0
2013-11-15,800.1,790.0,812.95,793.3,1226278.0
2013-11-16,800.1,790.0,812.95,793.3,1226278.0
2013-11-17,800.1,790.0,812.95,793.3,1226278.0
2013-11-18,802.25,796.75,817.0,814.45,2930824.0
2013-11-19,817.1,811.35,821.55,818.4,1295454.0
2013-11-20,813.5,801.0,826.1,807.75,1844772.0
2013-11-21,802.0,780.1,803.7,781.7,2638821.0
2013-11-22,780.5,780.5,802.7,793.35,1420386.0
2013-11-23,780.5,780.5,802.7,793.35,1420386.0
2013-11-24,780.5,780.5,802.7,793.35,1420386.0
2013-11-25,798.0,797.4,822.0,818.7,1549773.0
2013-11-26,811.0,803.0,818.0,807.35,2081747.0
2013-11-27,807.0,795.55,812.0,808.1,2199636.0
2013-11-28,815.0,805.6,818.6,814.1,2998078.0
2013-11-29,814.55,812.25,827.45,823.8,3710056.0
2013-11-30,814.55,812.25,827.45,823.8,3710056.0
2013-12-01,814.55,812.25,827.45,823.8,3710056.0
2013-12-02,821.0,821.0,832.0,827.65,1689702.0
2013-12-03,822.0,815.0,826.0,822.4,2469584.0
2013-12-04,820.0,810.05,821.35,812.15,1755186.0
2013-12-05,827.0,822.65,839.0,827.45,2586531.0
2013-12-06,824.5,810.05,829.5,813.75,2472172.0
2013-12-07,824.5,810.05,829.5,813.75,2472172.0
2013-12-08,824.5,810.05,829.5,813.75,2472172.0
2013-12-09,842.2,818.95,842.95,820.0,3450146.0
2013-12-10,820.0,805.75,820.6,808.95,2515867.0
2013-12-11,804.8,804.4,824.6,818.2,2365634.0
2013-12-12,815.5,815.5,830.55,826.95,2374414.0
2013-12-13,819.5,803.4,821.65,806.8,3540693.0
2013-12-14,819.5,803.4,821.65,806.8,3540693.0
2013-12-15,819.5,803.4,821.65,806.8,3540693.0
2013-12-16,809.8,795.55,809.8,798.55,1868292.0
2013-12-17,800.25,774.55,803.0,778.45,2100476.0
2013-12-18,779.9,778.45,808.9,798.25,2269221.0
2013-12-19,804.0,775.0,808.95,776.25,2096385.0
