Scrip Code,COMPANY,ISIN No.,Close Price
541336,Indostar Capital Finance Ltd,INE896L01010,278.8
532514,Indraprastha Gas Ltd,INE203G01027,470.75
532187,IndusInd Bank Ltd,INE095A01012,386.8
539807,Infibeam Avenues Ltd,INE483S01020,48.2
532777,Info Edge (India) Ltd.,INE663F01024,2573.55
500209,Infosys Ltd,INE009A01021,707.25
532706,Inox Leisure,INE312H01016,208.8
539083,Inox Wind Ltd,INE066P01011,25.9
538835,Intellect Design Arena Ltd.,INE306R01017,68.05
539448,InterGlobe Aviation Ltd,INE646L01027,977.65
524494,Ipca Laboratories Ltd,INE571A01020,1551.3
532947,IRB Infrastructure Developers Ltd,INE821I01014,60.35
541956,IRCON International Ltd,INE962Y01021,84.7
500875,ITC Ltd,INE154A01025,190.55
509496,ITD Cementation India Ltd,INE686A01026,34.75
523610,ITI Ltd,INE248A01017,82.6
530007,J. K. Tyre Industries Ltd,INE573A01042,50.8
506943,J.B.Chemicals & Pharmaceuticals Ltd.,INE572A01028,645.55
532644,J.K. Cement Ltd.,INE823G01014,1130.75
532705,Jagran Prakashan Ltd,INE199G01027,39.25
512237,Jai Corp Ltd,INE070D01027,67.1
500219,Jain Irrigation Systems Ltd,INE175A01038,7.33
532209,Jammu & Kashmir Bank Ltd,INE168A01041,12.29
520051,Jamna Auto Industries Ltd,INE039C01032,25
500378,Jindal SAW Ltd,INE324A01024,47.4
539597,Jindal Stainless (Hisar) Ltd,INE455T01018,37.35
532508,Jindal Stainless Ltd.,INE220G01021,26.65
532286,Jindal Steel & Power Ltd,INE749A01030,119.2
500380,JK Lakshmi Cement Ltd,INE786A01032,244.7
532162,JK Paper Ltd.,INE789E01012,88.5
523405,JM Financial Ltd,INE780C01023,60.7
523398,Johnson Controls -Hitachi Air Conditioning India Ltd,INE782A01015,2382.3
533148,JSW Energy Ltd,INE121E01018,40.65
500228,JSW Steel Ltd,INE019A01038,184.25
520057,JTEKT India Ltd,INE643A01035,53
533155,Jubilant FoodWorks Ltd,INE797F01012,1686.75
530019,Jubilant Life Sciences Ltd,INE700A01033,434.75
535648,Just Dial Ltd,INE599M01018,378.05
532926,Jyothy Labs Ltd,INE668F01031,101.9
500233,Kajaria Ceramics Ltd.,INE217B01036,326.25
522287,Kalpataru Power Transmission Ltd,INE220B01022,207.65
500165,Kansai Nerolac Paints Ltd.,INE531A01024,359.8
532652,Karnataka Bank Ltd,INE614B01018,36.2
532714,KEC International Ltd/India,INE389H01022,192.85
517569,KEI Industries Ltd,INE878B01027,277.45
532942,KNR Constructions Ltd,INE634I01029,194
500247,Kotak Mahindra Bank Ltd,INE237A01028,1228.35
542651,KPIT Technologies Ltd,INE04I401011,46.9
532889,KPR Mill Ltd,INE930H01023,409.5
530813,KRBL Ltd,INE001B01026,178.45
500249,KSB Ltd,INE999A01015,469.5
533519,L&T Finance Holdings Ltd,INE498L01015,53.5
540115,L&T Technology Services Ltd,INE010V01017,1130.95
526947,La Opala Rg Ltd.,INE059D01020,157.95
500252,Lakshmi Machine Works Ltd,INE269B01029,2523.15
534690,Lakshmi Vilas Bank Ltd.,INE694C01018,12.6
540005,Larsen & Toubro Infotech Ltd,INE214T01019,1787.25
500510,Larsen & Toubro Ltd,INE018A01030,903.05
540222,Laurus Labs Ltd,INE947Q01010,458.55
