date,open,high,low,close,volume,dividend,split
2018-09-11,1148.19,1149.0579,1140.5324,1143.6,941278.0,0,0
2018-09-12,1143.6,1143.6,1139.8,1143.1,29.0,0,0
2018-09-14,1158.7,1158.7,1158.7,1158.7,4.0,0,0
2018-09-17,1147.7,1147.7,1147.7,1147.7,1.0,0,0
2018-09-18,1155.0,1155.0,1152.2,1153.3,151.0,0,0
2018-09-19,1148.8454,1157.914,1139.1976,1147.5,256788.0,0,0
2018-09-21,1147.5,1147.5,1147.5,1147.5,2.0,0,0
2018-09-24,1116.5,1116.5,1111.2,1112.1,423.0,0,0
2018-09-25,1108.0,1119.2,1108.0,1118.13,23.0,0,0
2018-09-26,1241.1,1319.4,1117.0,1119.0,60.0,0,0
2018-09-27,1104.6513,1113.0521,1104.2977,1111.7,795789.0,0,0
2018-09-28,1111.7,1111.7,1102.7,1104.9,125.0,0,0
2018-10-01,1101.7,1101.7,1101.7,1101.7,4.0,0,0
2018-10-03,1108.7,1108.7,1104.3,1104.3,3.0,0,0
2018-10-04,1081.0,1083.0,1077.5,1077.5,117.0,0,0
2018-10-05,1062.0,1062.0,1050.0,1050.0,13.0,0,0
2018-10-08,1034.5,1045.5,1033.5,1038.8199,120.0,0,0
2018-10-09,1052.5,1052.5,1046.5,1046.5,9.0,0,0
2018-10-10,1049.6,1049.6,1049.6,1049.6,1.0,0,0
2018-10-11,1037.0,1042.0,1037.0,1040.5,50.0,0,0
2018-10-12,1056.0,1059.5,1056.0,1059.5,13.0,0,0
2018-10-15,1059.0,1060.5,1059.0,1060.5,17.0,0,0
2018-10-16,1074.4578,1081.1136,1072.862,1080.5,454553.0,0,0
2018-10-17,1080.5,1080.5,1062.0,1062.0,28.0,0,0
2018-10-19,1027.3581,1032.5174,1021.0101,1031.2056,960501.0,0,0
2018-10-22,1031.2056,1032.4095,1023.3013,1030.0,727522.0,0,0
2018-10-23,1030.0,1030.0,1030.0,1030.0,240.0,0,0
2018-10-24,1035.0,1035.0,1035.0,1035.0,10.0,0,0
2018-10-25,1023.5,1024.0,1023.5,1024.0,250.0,0,0
2018-10-26,1018.0,1018.0,1016.9,1016.9,530.0,0,0
2018-10-29,1012.0,1017.0,1012.0,1017.0,10.0,0,0
2018-10-30,1039.1,1039.1,1039.1,1039.1,4.0,0,0
2018-10-31,1034.1,1034.1,1028.1,1030.3,60.0,0,0
2018-11-01,1083.3316,1089.0806,1077.4057,1080.0,346542.0,0,0
2018-11-02,1080.0,1190.0,1060.5,1060.5,19.0,0,0
2018-11-05,1070.5251,1075.6338,1058.9633,1069.5,478936.0,0,0
2018-11-06,1069.5,1069.5,1069.5,1069.5,10.0,0,0
2018-11-07,1077.8933,1081.5744,1066.3675,1075.7475,236443.0,0,0
2018-11-09,1075.7475,1079.3915,1061.3666,1070.0,238724.0,0,0
2018-11-12,1070.0,1070.0,1070.0,1070.0,2.0,0,0
2018-11-13,1088.6548,1096.1019,1078.2068,1088.1247,800939.0,0,0
2018-11-14,1088.1247,1101.353,1085.3506,1094.6448,98813.0,0,0
2018-11-15,1094.6448,1104.916,1093.999,1100.0,386178.0,0,0
2018-11-16,1100.0,1172.5,1078.0,1079.0,177.0,0,0
2018-11-19,1089.4514,1092.7478,1085.3956,1086.1,184624.0,0,0
2018-11-20,1086.1,1087.8,1085.0,1087.25,40.0,0,0
2018-11-21,1074.9,1074.9,1074.9,1074.9,1.0,0,0
2018-11-22,1075.1,1075.1,1068.0,1068.0,41.0,0,0
2018-11-26,1065.9,1065.9,1065.9,1065.9,1.0,0,0
2018-11-27,1074.1,1074.1,1074.1,1074.1,2.0,0,0
2018-11-28,1110.2268,1113.6062,1094.9652,1103.5894,333116.0,0,0
2018-11-29,1103.5894,1106.6488,1094.8477,1104.0,272607.0,0,0
2018-11-30,1104.0,1104.0,1100.5,1100.5,40.0,0,0
2018-12-03,1103.0,1103.0,1099.0,1099.0,20.0,0,0
2018-12-04,1093.9576,1098.2519,1087.2023,1094.0684,463920.0,0,0
2018-12-05,1094.0684,1101.2075,1084.4653,1095.0,739981.0,0,0
2018-12-06,1095.0,1095.0,1079.4,1079.4,9.0,0,0
2018-12-07,1076.0,1076.0,1076.0,1076.0,2.0,0,0
2018-12-10,1063.5,1063.5,1063.5,1063.5,6.0,0,0
2018-12-11,1047.5,1061.0,1047.5,1061.0,70.0,0,0
2018-12-12,1095.0442,1096.5562,1081.8047,1092.4351,211518.0,0,0
2018-12-13,1092.4351,1108.6867,1090.9938,1098.8476,191166.0,0,0
2018-12-14,1098.8476,1102.6048,1092.4075,1099.5,101926.0,0,0
2018-12-17,1099.5,1101.0,1098.5,1098.5,18.0,0,0
2018-12-18,1097.0,1097.0,1097.0,1097.0,1.0,0,0
2018-12-19,1111.0732,1111.7395,1095.6419,1105.0,359493.0,0,0
2018-12-20,1105.0,1105.0,1105.0,1105.0,121.0,0,0
2018-12-21,1105.832,1105.9169,1103.4328,1104.6312,586467.0,0,0
2018-12-24,1104.6312,1111.4973,1098.7421,1106.9351,458459.0,0,0
2018-12-26,1106.9351,1111.584,1097.873,1102.4377,718562.0,0,0
2018-12-27,1102.4377,1106.5856,1094.5307,1100.0,275488.0,0,0
2018-12-28,1100.0,1100.0,1100.0,1100.0,1.0,0,0
2018-12-31,1102.5,1102.5,1102.5,1102.5,1.0,0,0
2019-01-01,1107.3093,1112.1162,1102.6598,1105.0,427751.0,0,0
2019-01-02,1105.0,1105.0,1092.5,1092.5,22.0,0,0
2019-01-03,1088.5,1088.5,1088.5,1088.5,1.0,0,0
2019-01-04,1082.0,1082.0,1082.0,1082.0,1.0,0,0
2019-01-07,1021.5437,1031.3935,1021.1939,1022.0,668488.0,0,0
2019-01-08,1022.0,1124.6,880.9,1093.5,102.0,0,0
2019-01-09,1093.5,1093.5,1093.5,1093.5,4.0,0,0
2019-01-10,1102.0,1102.0,1099.0,1099.0,11.0,0,0
2019-01-11,1100.0,1100.0,1100.0,1100.0,4.0,0,0
2019-01-14,1094.3371,1103.794,1088.6718,1096.2,307474.0,0,0
2019-01-15,1096.2,1100.6,1095.6,1100.6,23.0,0,0
2019-01-16,1110.1439,1114.5191,1101.2961,1109.0,879997.0,0,0
2019-01-17,1109.0,1109.0,1107.0,1107.0,4.0,0,0
2019-01-18,1098.8451,1103.0939,1094.9809,1099.0829,727651.0,0,0
2019-01-21,1099.0829,1100.515,1097.0575,1099.2347,142407.0,0,0
2019-01-22,1099.2347,1111.4432,1098.2426,1105.5,102778.0,0,0
2019-01-23,1105.5,1105.5,1105.5,1105.5,1.0,0,0
2019-01-24,1094.3572,1100.7283,1080.1885,1090.06,158067.0,0,0
2019-01-25,1090.06,1097.637,1083.3229,1087.5526,694132.0,0,0
2019-01-28,1087.5526,1090.6299,1072.106,1082.0,511090.0,0,0
2019-01-29,1082.0,1086.5,1076.0,1076.0,48.0,0,0
2019-01-30,1112.7188,1112.7751,1103.2482,1108.2982,254821.0,0,0
2019-01-31,1108.2982,1109.7836,1098.8192,1103.0965,162325.0,0,0
2019-02-01,1103.0965,1103.2363,1099.8879,1102.3295,407241.0,0,0
2019-02-04,1102.3295,1110.5647,1101.5928,1109.3919,906665.0,0,0
2019-02-05,1109.3919,1111.081,1095.6009,1104.0679,787002.0,0,0
2019-02-06,1104.0679,1111.2841,1102.1379,1110.2827,427172.0,0,0
2019-02-07,1110.2827,1111.8917,1107.5675,1111.3375,208668.0,0,0
2019-02-08,1111.3375,1114.3296,1095.5211,1105.5,183306.0,0,0
2019-02-11,1105.5,1106.5,1105.5,1105.5,15.0,0,0
2019-02-12,1107.0,1107.0,1107.0,1107.0,1.0,0,0
2019-02-14,1093.0,1093.0,1091.0,1091.0,177.0,0,0
2019-02-15,1083.7601,1086.3603,1080.291,1085.0,30600.0,0,0
2019-02-18,1085.0,1085.0,1085.0,1085.0,10.0,0,0
2019-02-19,1083.0,1086.5,1083.0,1083.0,21.0,0,0
2019-02-20,1083.0,1083.0,1083.0,1083.0,1.0,0,0
2019-02-21,1091.1561,1103.5047,1087.171,1094.0,502374.0,0,0
2019-02-22,1094.0,1094.0,1094.0,1094.0,1.0,0,0
2019-02-25,1099.5,1101.0,1099.5,1100.66,19.0,0,0
2019-02-26,1099.0,1099.0,1094.5,1094.5,58.0,0,0
2019-02-27,1099.3423,1104.7754,1091.8554,1098.2078,606905.0,0,0
2019-02-28,1098.2078,1111.6766,1095.8911,1103.0,117599.0,0,0
2019-03-01,1103.0,1105.0,1103.0,1105.0,1050.0,0,0
2019-03-05,1103.5,1114.5,1103.5,1114.5,203.0,0,0
2019-03-06,1124.0729,1134.3218,1122.4135,1124.0,401078.0,0,0
2019-03-07,1124.0,1124.0,1124.0,1124.0,5.0,0,0
2019-03-08,1130.1382,1133.8597,1128.0629,1129.0,282141.0,0,0
2019-03-11,1129.0,1133.5,1129.0,1132.5,11.0,0,0
2019-03-12,1145.0,1149.05,1145.0,1149.05,4.0,0,0
2019-03-13,1155.0,1155.0,1149.0,1149.0,5.0,0,0
2019-03-14,1153.9996,1162.3646,1151.8142,1159.0,385031.0,0,0
2019-03-15,1159.0,1161.0,1159.0,1160.5,258.0,0,0
2019-03-18,1168.0,1168.0,1161.0,1161.0,34.0,0,0
2019-03-19,1173.4923,1178.491,1167.9504,1172.5,605855.0,0,0
2019-03-20,1172.5,1173.5,1172.5,1173.5,2.0,0,0
2019-03-22,1175.0,1175.0,1175.0,1175.0,3.0,0,0
2019-03-25,1156.0,1156.0,1152.0,1153.0,20.0,0,0
2019-03-26,1177.6009,1178.2602,1159.3593,1169.079,581540.0,0,0
2019-03-27,1169.079,1171.6552,1166.9111,1169.5,431669.0,0,0
2019-03-28,1169.5,1169.5,1169.5,1169.5,5.0,0,0
2019-04-01,1192.171,1197.5034,1187.7282,1195.4202,46869.0,0,0
2019-04-02,1195.4202,1197.6898,1191.5113,1193.5,183263.0,0,0
2019-04-03,1193.5,1198.0,1193.5,1198.0,88.0,0,0
2019-04-04,1185.0,1185.0,1183.5,1183.5,16.0,0,0
2019-04-05,1185.0,1185.0,1185.0,1185.0,8.0,0,0
2019-04-08,1182.171,1185.8837,1174.3287,1183.7889,869607.0,0,0
2019-04-09,1183.7889,1193.9871,1179.4116,1185.5,423651.0,0,0
2019-04-10,1185.5,1185.5,1185.5,1185.5,6.0,0,0
2019-04-11,1179.9762,1185.5062,1176.7148,1177.5,69729.0,0,0
2019-04-12,1177.5,1180.5,1177.5,1180.5,50.0,0,0
2019-04-15,1187.0,1188.5,1187.0,1187.0,26.0,0,0
2019-04-16,1200.0,1201.0,1200.0,1201.0,2.0,0,0
2019-04-18,1189.9855,1195.7503,1186.5608,1189.0,185122.0,0,0
2019-04-22,1189.0,1189.0,1189.0,1189.0,1.0,0,0
2019-04-23,1183.5,1183.5,1183.0,1183.0,35.0,0,0
2019-04-24,1181.5,1181.5,1181.5,1181.5,4.0,0,0
2019-04-25,1193.5,1196.0,1193.5,1194.37,20.0,0,0
2019-04-26,1189.5,1189.5,1188.5,1188.5,2.0,0,0
2019-04-30,1197.436,1197.7104,1192.4758,1197.5,157099.0,0,0
2019-05-02,1197.5,1197.5,1185.5,1185.5,290.0,0,0
2019-05-03,1193.0,1193.0,1193.0,1193.0,7.0,0,0
2019-05-06,1180.0,1180.0,1180.0,1180.0,3.0,0,0
2019-05-07,1170.5,1170.5,1170.5,1170.5,2.0,0,0
2019-05-08,1165.0,1165.0,1162.0,1162.0,4.0,0,0
2019-05-09,1159.0966,1161.2112,1152.0986,1153.0,51182.0,0,0
2019-05-10,1153.0,1153.0,1148.5,1152.0,9.0,0,0
2019-05-13,1144.5,1148.5,1139.5,1140.25,5.0,0,0
2019-05-14,1132.0,1144.5,1132.0,1140.0,101.0,0,0
2019-05-15,1145.5,1147.0,1138.0,1138.0,17.0,0,0
2019-05-16,1138.0,1138.0,1138.0,1138.0,1.0,0,0
2019-05-17,1154.5,1154.5,1154.5,1154.5,1.0,0,0
2019-05-20,1176.0,1203.0,1176.0,1203.0,8.0,0,0
2019-05-21,1176.0,1196.5,1176.0,1191.5,29.0,0,0
2019-05-22,1194.0,1194.0,1194.0,1194.0,10.0,0,0
2019-05-23,1216.0,1219.0,1185.0,1190.16,31.0,0,0
2019-05-24,1194.5,1201.0,1194.5,1201.0,32.0,0,0
2019-05-27,1213.5,1213.5,1213.5,1213.5,9.0,0,0
2019-05-28,1213.0,1213.0,1211.0,1211.0,48.0,0,0
2019-05-29,1214.9401,1217.5724,1213.7207,1214.5,46058.0,0,0
2019-05-30,1214.5,1214.5,1214.5,1214.5,5.0,0,0
2019-05-31,1220.5,1220.5,1214.0,1214.0,40.0,0,0
2019-06-03,1231.093,1231.5723,1222.759,1225.5,90885.0,0,0
2019-06-04,1225.5,1226.5,1224.0,1225.6,125.0,0,0
2019-06-06,1221.0,1221.0,1210.5,1210.5,104.0,0,0
2019-06-07,1208.0,1209.5,1208.0,1209.5,50.0,0,0
2019-06-10,1220.0,1220.0,1214.0,1214.0,5.0,0,0
2019-06-11,1211.9382,1213.7943,1209.8147,1213.0,705977.0,0,0
2019-06-12,1213.0,1213.0,1213.0,1213.0,2.0,0,0
2019-06-13,1215.3615,1217.1114,1207.8024,1214.0,948867.0,0,0
2019-06-14,1214.0,1214.0,1209.0,1209.0,42.0,0,0
2019-06-17,1200.0,1200.0,1192.0,1192.0,24.0,0,0
2019-06-18,1194.0,1194.0,1194.0,1194.0,1.0,0,0
2019-06-19,1188.5,1191.0,1188.5,1189.75,4.0,0,0
2019-06-20,1199.0,1202.0,1199.0,1199.9301,8.0,0,0
2019-06-21,1202.0,1202.0,1197.0,1198.5,33.0,0,0
2019-06-24,1196.0,1196.0,1196.0,1196.0,2.0,0,0
2019-06-25,1190.5,1203.0,1190.5,1203.0,26.0,0,0
2019-06-26,1217.5302,1220.4783,1212.556,1214.0,626218.0,0,0
2019-06-27,1214.0,1214.0,1210.5,1210.5,20.0,0,0
2019-06-28,1209.5,1209.5,1206.5,1206.5,20.0,0,0
2019-07-01,1208.0,1209.0,1208.0,1209.0,2.0,0,0
2019-07-02,1225.4878,1230.5015,1225.4247,1228.1485,747761.0,0,0
2019-07-03,1228.1485,1234.7757,1222.8991,1231.1348,642909.0,0,0
2019-07-04,1231.1348,1244.738,1229.3554,1236.0,71344.0,0,0
2019-07-05,1236.0,1296.0,1206.05,1206.2,323.0,0,0
2019-07-08,1200.0,1200.0,1177.5,1177.66,62.0,0,0
2019-07-09,1175.5,1179.0,1175.5,1177.0,16.0,0,0
2019-07-10,1179.0,1179.0,1176.0,1176.0,14.0,0,0
2019-07-11,1180.0,1180.0,1180.0,1180.0,10.0,0,0
2019-07-12,1186.5,1186.5,1182.0,1182.0,21.0,0,0
2019-07-15,1181.5,1183.0,1181.5,1181.5,21.0,0,0
2019-07-16,1182.5,1182.5,1182.5,1182.5,1.0,0,0
2019-07-17,1178.6283,1186.2292,1165.6652,1176.9782,371893.0,0,0
2019-07-18,1176.9782,1189.6029,1175.3266,1186.0,190737.0,0,0
2019-07-19,1186.0,1186.0,1166.0,1167.42,44.0,0,0
2019-07-22,1160.0,1160.0,1156.0,1157.0,7.0,0,0
